wallet,token_name,symbol,amount,decimals,mint
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,5274.936130645,9,2LtR76mnnppg45DBiTeFQ2RovtXGEzq9poD7MP9Mru1d
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,4.497436,6,7wGBS29HCU7zpd8wVJpk7R8RGYqjwf6CWq8rqb6upump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,A7n89LqW67HJKzJkdWZa2xojuK4N5GBKHz3dfjATCZPz
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,12895.9215,4,NKaTB5vC3srLog8W7jzdjnejig2iH8eDpkDM31Dosak
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,69.261698,6,FUCKUjN68N92e7dyDJeBssbN8SWsJ4q7APpNYRjqfCwS
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,BMzi1USc7bpgTg9cmQsSfY1ENupFi8vtM9ixpD98pump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,5xcdxjGGba21vfgtykc1ZtZ1p2v89jQ3H5BRRc31gjP8
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,4111.418297305,9,DsR33PU3gScL9fjW8Dg4bkRajhv2MoM7eZTQrTPAmoon
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,26062.825847756,9,5ZqYBXMavJ3x3UhnmTKe1sgcYzfyjEpQm7X4Y7kodS1B
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,19849.188022778,9,FR4T1Vb3cR22HP26mK2xWPwgYUfEPqmFgsuAcgQFMaZQ
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,7DRFsnoPuSm2MorNUYC7Wbd5eQZ9gvWvhmhDWRyJpump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,17034.380937485,9,F7GXrd9JEV3CDG7Lhqw3KGnzwhuqPC24GCwNyUUhrZv6
